"study_number","region"
"1","Mixed"
"2","USA"
"3","Vietnam"
"4","Chile"
"5","Spain"
"6","Italy"
"7","Mixed"
"8","Mixed"
"9","Pacific Coast"
"10","Vietnam"
"11","Spain"
"12","Spain"
"13","Norway"
"14","China"
"15","China"
"16","South Korea"
"17","Mixed"
"18","China"
"19","China"
"20","Vietnam"
"21","China"
"22","Mixed"
"23","Mixed"
"24","Nigeria"
"25","Mediterranean Sea"
"26","Israel"
"27","China"
"28","Mixed"
"29","China"
"30","India"
"31","China"
"32","Canada"
"33","South Africa"
"34","China"
"35","Mexico"
"36","Germany"
"37","China"
"38","China"
"39","India"
"40","Serbia"
"41","China"
"42","Sea of Sardinia"
"43","India"
"44","Mixed"
"45","Portugal"
"46","China"
"47","South Korea"
"48","China"
"49","Vietnam"
"50","China"
"51","China"
"52","Mixed"
"53","Bangladesh"
"54","USA"
"55","Mixed"
"56","Mixed"
"57","Mixed"
"58","Australia"
"59","China"
"60","Australia"
"61","Kuwait"
"62","China"
"63","Senegal"
"64","Mixed"
"65","India"
"66","Mixed"
"67","China"
"68","Thailand"
"69","India"
"70","Mixed"
"71","Mixed"
"72","Mixed"
"73","China"
"74","Italy"
"75","China"
"76","South Korea"
"77","Spain"
"78","China"
"79","Spain"
"80","South Korea"
"81","Portugal"
"82","Switzerland"
"83","Vietnam"
"84","Spain"
"85","Spain"
"86","Italy"
"87","France"
"88","China"
"89","USA"
"90","Spain"
"91","Brazil"
"92","Iran"
"93","Brazil"
"94","Czech Republic"
"95","Italy"
"96","Japan"
"97","Italy"
"98","Malaysia"
"99","Portugal"
"100","South Korea"
"101","South Korea"
"102","Taiwan"
"103","South Korea"
"104","Egypt"
"105","South Korea"
"106","India"
"107","China"
"108","Italy"
"109","China"
"110","Spain"
"111","South Africa"
"112","USA"
"113","China"
"114","China"
"115","Iran"
"116","China"
"117","Vietnam"
"118","India"
"119","Taiwan"
"120","China"
"121","India"
"122","Italy"
"123","Mixed"
"124","Japan"
"125","Hungary"
"126","Serbia"
"127","Nigeria"
"128","India"
"129","Brazil"
"130","Taiwan"
"131","India"
"132","Ghana"
"133","China"
"134","Greece"
"135","India"
"136","India"
"137","China"
"138","Brazil"
"139","Adriatic Sea"
"140","Ireland"
"141","Italy"
"142","China"
"143","USA"
"144","South Korea"
"145","Malaysia"
"146","Iceland"
"147","Malaysia"
"148","Greenland"
"149","Iran"
"150","New Zealand"
"151","China"
"152","Italy"
"153","Senegal"
"154","India"
"155","Oman"
"156","Italy"
"157","India"
"158","India"
"159","China"
"160","Italy"
"161","Singapore"
"162","Iran"
"163","Mixed"
"164","Netherlands"
"165","France"
"166","South Korea"
"167","Iran"
"168","France"
"169","China"
"170","Canada"
"171","China"
"172","Germany"
"173","Mixed"
"174","Japan"
"175","India"
"176","Philippines"
"177","India"
"178","Spain"
"179","Italy"
"180","India"
"181","USA"
"182","Spain"
"183","Mixed"
"184","USA"
"185","India"
"186","Italy"
"187","India"
"188","Indonesia"
"189","Italy"
"190","Tunisia"
"191","Spain"
"192","China"
"193","USA"
"194","Spain"
"195","Mixed"
"196","France"
"197","USA"
"198","India"
"199","Italy"
"200","Spain"
"201","China"
"202","Spain"
"203","Spain"
"204","India"
"205","China"
"206","Greece"
"207","Spain"
"208","Poland"
"209","China"
"210","USA"
"211","Japan"
"212","Germany"
"213","Malaysia"
"214","Italy"
"215","Spain"
"216","China"
"217","India"
"218","Mauritius"
"219","Norway"
"220","India"
"221","Mixed"
"222","Nigeria"
"223","Cambodia"
"224","China"
"225","Japan"
"226","Malaysia"
"227","Mixed"
"228","China"
"229","China"
"230","Iraq"
"231","Nigeria"
"232","Croatia"
"233","Taiwan"
"234","Menorca"
"235","China"
"236","Mexico"
"237","Tanzania"
"238","Sweden"
"239","India"
"240","China"
"241","Thailand"
"242","Mediterranean Sea"
"243","China"
"244","Brazil"
"245","China"
"246","Turkey"
"247","Nigeria"
"248","Mixed"
"249","India"
"250","Italy"
"251","Gulf of Mannar"
"252","Bangladesh"
"253","China"
"254","Malaysia"
"255","USA"
"256","Iran"
"257","Indonesia"
"258","Turkey"
"259","Malaysia"
"260","Saudi Arabia"
"261","Malaysia"
"262","Qatar"
"263","Germany"
"264","Mixed"
"265","China"
"266","Italy"
"267","Egypt"
"268","Malta"
"269","New Zealand"
"270","Poland"
"271","Mixed"
"272","China"
"273","Indonesia"
"274","India"
"275","Mixed"
"276","India"
"277","Iceland"
"278","China"
"279","Thailand"
"280","Turkey"
"281","India"
"282","Ecuador"
"283","Portugal"
"284","Indonesia"
"285","Bay of Bengal"
"286","Spain"
"287","Persian Gulf"
"288","Philippines"
"289","Brazil"
"290","Tunisia"
"291","China"
"292","Thailand"
"293","Spain"
"294","Portugal"
"295","Persian Gulf"
"296","Greece"
"297","Mixed"
"298","Mixed"
"299","Mixed"
"300","Egypt"
"301","China"
"302","Italy"
"303","South Korea"
"304","China"
"305","Slovakia"
"306","Nigeria"
"307","Indonesia"
"308","Mixed"
"309","Thailand"
"310","China"
"311","India"
"312","Adriatic Sea"
"313","USA"
"314","USA"
"315","Turkey"
"316","India"
"317","China"
"318","China"
"319","Italy"
"320","India"
"321","Japan"
"322","Tunisia"
"323","Mixed"
"324","Germany"
"325","India"
"326","India"
"327","Cambodia"
"328","China"
"329","Mauritius"
"330","Thailand"
"331","China"
"332","Vietnam"
"333","China"
"334","Malawi"
"335","France"
"336","South Korea"
"337","China"
"338","Spain"
"339","Mixed"
"340","India"
"341","India"
"342","Mixed"
"343","Scotland"
"344","Indonesia"
"345","China"
"346","Nigeria"
"347","China"
"348","China"
"349","Portugal"
"350","China"
"351","Mediterranean Sea"
"352","India"
"353","Taiwan"
"354","New Zealand"
"355","South Korea"
"356","China"
"357","Romania"
"358","China"
"359","Malaysia"
"360","Adriatic Sea"
"361","Gulf of Thailand"
"362","China"
"363","China"
"364","China"
"365","Mixed"
"366","Mixed"
"367","Not specified"
"368","China"
"369","Malaysia"
"370","China"
"371","United Kingdom"
"372","Kazakhstan"
"373","Algeria"
"374","United Kingdom"
"375","China"
"376","China"
