"study_number","hazard"
"3","Weather"
"3","Water Pollution"
"8","Evidence Linking to Human Health/Disease"
"9","Evidence Linking to Human Health/Disease"
"10","Evidence Linking to Human Health/Disease"
"11","Evidence Linking to Human Health/Disease"
"12","Evidence Linking to Human Health/Disease"
"13","Evidence Linking to Human Health/Disease"
"14","Water Pollution"
"15","Weather"
"15","Water Pollution"
"18","Evidence Linking to Human Health/Disease"
"20","Evidence Linking to Human Health/Disease"
"20","Water Pollution"
"21","Evidence Linking to Human Health/Disease"
"21","Weather"
"21","Water Pollution"
"24","Evidence Linking to Human Health/Disease"
"24","Temperature"
"24","Salinity"
"24","Water Pollution"
"26","Evidence Linking to Human Health/Disease"
"30","Water Pollution"
"31","Water Pollution"
"32","Water Pollution"
"33","Water Pollution"
"35","Temperature"
"35","Water Pollution"
"38","Evidence Linking to Human Health/Disease"
"38","Acidification"
"39","Evidence Linking to Human Health/Disease"
"39","Water Pollution"
"41","Evidence Linking to Human Health/Disease"
"41","Water Pollution"
"43","Water Pollution"
"44","Temperature"
"44","Salinity"
"45","Temperature"
"45","Salinity"
"45","Water Pollution"
"46","Water Pollution"
"47","Evidence Linking to Human Health/Disease"
"47","Temperature"
"47","Acidification"
"48","Evidence Linking to Human Health/Disease"
"48","Weather"
"48","Acidification"
"48","Water Pollution"
"50","Evidence Linking to Human Health/Disease"
"50","Water Pollution"
"51","Evidence Linking to Human Health/Disease"
"53","Evidence Linking to Human Health/Disease"
"53","Salinity"
"54","Water Pollution"
"56","Temperature"
"58","Water Pollution"
"59","Evidence Linking to Human Health/Disease"
"60","Temperature"
"60","Salinity"
"62","Evidence Linking to Human Health/Disease"
"62","Water Pollution"
"63","Evidence Linking to Human Health/Disease"
"64","Water Pollution"
"65","Water Pollution"
"67","Evidence Linking to Human Health/Disease"
"71","Evidence Linking to Human Health/Disease"
"72","Temperature"
"73","Salinity"
"73","Acidification"
"73","Water Pollution"
"74","Water Pollution"
"80","Water Pollution"
"82","Water Pollution"
"84","Temperature"
"84","Water Pollution"
"87","Temperature"
"88","Evidence Linking to Human Health/Disease"
"89","Evidence Linking to Human Health/Disease"
"93","Evidence Linking to Human Health/Disease"
"94","Evidence Linking to Human Health/Disease"
"96","Temperature"
"97","Evidence Linking to Human Health/Disease"
"97","Temperature"
"98","Water Pollution"
"99","Evidence Linking to Human Health/Disease"
"99","Water Pollution"
"101","Evidence Linking to Human Health/Disease"
"102","Evidence Linking to Human Health/Disease"
"103","Evidence Linking to Human Health/Disease"
"103","Temperature"
"104","Evidence Linking to Human Health/Disease"
"106","Temperature"
"106","Salinity"
"107","Water Pollution"
"108","Evidence Linking to Human Health/Disease"
