"study_number","contaminant"
"81","Antimicrobials"
"86","Antimicrobials"
"129","Antimicrobials"
"143","Antimicrobials"
"222","Antimicrobials"
"224","Antimicrobials"
"230","Antimicrobials"
"253","Antimicrobials"
"375","Antimicrobials"
"10","Pathogens"
"11","Pathogens"
"13","Pathogens"
"24","Pathogens"
"26","Pathogens"
"30","Pathogens"
"35","Pathogens"
"36","Pathogens"
"37","Pathogens"
"39","Pathogens"
"44","Pathogens"
"47","Pathogens"
"49","Pathogens"
"51","Pathogens"
"65","Pathogens"
"68","Pathogens"
"69","Pathogens"
"75","Pathogens"
"76","Pathogens"
"80","Pathogens"
"82","Pathogens"
"83","Pathogens"
"85","Pathogens"
"87","Pathogens"
"89","Pathogens"
"92","Pathogens"
"96","Pathogens"
"97","Pathogens"
"100","Pathogens"
"101","Pathogens"
"103","Pathogens"
"104","Pathogens"
"106","Pathogens"
"108","Pathogens"
"112","Pathogens"
"113","Pathogens"
"116","Pathogens"
"118","Pathogens"
"121","Pathogens"
"123","Pathogens"
"124","Pathogens"
"127","Pathogens"
"128","Pathogens"
"131","Pathogens"
"135","Pathogens"
"136","Pathogens"
"150","Pathogens"
"153","Pathogens"
"154","Pathogens"
"156","Pathogens"
"157","Pathogens"
"158","Pathogens"
"161","Pathogens"
"164","Pathogens"
"167","Pathogens"
"170","Pathogens"
"173","Pathogens"
"174","Pathogens"
"175","Pathogens"
"180","Pathogens"
"182","Pathogens"
"185","Pathogens"
"187","Pathogens"
"192","Pathogens"
"195","Pathogens"
"198","Pathogens"
"204","Pathogens"
"206","Pathogens"
"211","Pathogens"
"212","Pathogens"
"213","Pathogens"
"217","Pathogens"
"218","Pathogens"
"219","Pathogens"
"220","Pathogens"
"223","Pathogens"
"225","Pathogens"
"226","Pathogens"
"227","Pathogens"
"231","Pathogens"
"235","Pathogens"
"236","Pathogens"
"239","Pathogens"
"241","Pathogens"
"248","Pathogens"
"256","Pathogens"
"260","Pathogens"
"262","Pathogens"
"263","Pathogens"
"264","Pathogens"
"271","Pathogens"
"274","Pathogens"
"275","Pathogens"
"276","Pathogens"
"277","Pathogens"
"278","Pathogens"
"280","Pathogens"
"281","Pathogens"
"295","Pathogens"
"296","Pathogens"
"298","Pathogens"
"299","Pathogens"
"300","Pathogens"
"302","Pathogens"
"305","Pathogens"
"306","Pathogens"
"307","Pathogens"
"309","Pathogens"
"311","Pathogens"
"315","Pathogens"
"316","Pathogens"
"321","Pathogens"
"322","Pathogens"
"323","Pathogens"
"324","Pathogens"
"325","Pathogens"
"326","Pathogens"
"327","Pathogens"
"328","Pathogens"
"329","Pathogens"
"330","Pathogens"
"332","Pathogens"
"334","Pathogens"
"339","Pathogens"
"341","Pathogens"
"344","Pathogens"
"351","Pathogens"
"352","Pathogens"
"354","Pathogens"
"355","Pathogens"
"358","Pathogens"
"359","Pathogens"
"369","Pathogens"
"370","Pathogens"
"371","Pathogens"
"373","Pathogens"
"374","Pathogens"
"41","Biotoxin"
"55","Biotoxin"
"64","Biotoxin"
"78","Biotoxin"
"139","Biotoxin"
"142","Biotoxin"
"165","Biotoxin"
"190","Biotoxin"
"199","Biotoxin"
"257","Biotoxin"
"303","Biotoxin"
"312","Biotoxin"
"343","Biotoxin"
"356","Biotoxin"
"365","Biotoxin"
"367","Biotoxin"
"368","Biotoxin"
"9","Heavy Metal"
"25","Heavy Metal"
"27","Heavy Metal"
"40","Heavy Metal"
"43","Heavy Metal"
"50","Heavy Metal"
"53","Heavy Metal"
"58","Heavy Metal"
"60","Heavy Metal"
"61","Heavy Metal"
"63","Heavy Metal"
"66","Heavy Metal"
"72","Heavy Metal"
"73","Heavy Metal"
"74","Heavy Metal"
"91","Heavy Metal"
"93","Heavy Metal"
"95","Heavy Metal"
"98","Heavy Metal"
"99","Heavy Metal"
"102","Heavy Metal"
"114","Heavy Metal"
"115","Heavy Metal"
"117","Heavy Metal"
