"standardized_species","number_of_studies"
"Mediterranean Mussel (Mytilus galloprovincialis)",38
"Mussel (no species specified)",38
"Oyster (no species specified)",38
"Clam (no species specified)",31
"Salmon (no species specified)",31
"Whiteleg Shrimp (Litopenaeus vannamei)",31
"Pacific Oyster (Crassostrea gigas)",30
"Gilthead Sea Bream (Sparus aurata)",29
"European Sea Bass (Dicentrarchus labrax)",28
"Tilapia (no species specified)",23
"Atlantic Salmon (Salmo salar)",22
"Manila Clam (Ruditapes philippinarum)",22
"Grass Carp (Ctenopharyngodon idella)",21
"Sea Mullet (Mugil cephalus)",20
"Asian Green Mussel (Perna viridis)",18
"Blue Mussel (Mytilus edulis)",17
"Asiatic Hard Clam (Meretrix meretrix)",15
"Rainbow Trout (Oncorhynchus mykiss)",15
"Blood Cockle (Tegillarca granosa)",14
"Common Carp (Cyprinus carpio)",14
"Shrimp (no species specified)",14
"Red Mullet (Mullus barbatus)",12
"Catfish (no species specified)",11
"Japanese Sea Bass (Lateolabrax japonicus)",11
"Nile Tilapia (Oreochromis niloticus)",11
"Greasyback Shrimp (Metapenaeus ensis)",10
"Largemouth Bass (Micropterus salmoides)",10
"Scallop (no species specified)",10
"Sea Bass (no species specified)",10
"Sea Bream (no species specified)",10
"Chinese Venus Clam (Cyclina sinensis)",9
"Mud Crab (Scylla serrata)",9
"Striped Catfish (Pangasisanodon hypophthalmus)",9
"Ark Shell (Scapharca subcrenata)",8
"Atlantic Bay Scallop (Argopecten irradians)",8
"Atlantic Cod (Gadus morhua)",8
"Chinese Razor Clam (Sinonovacula constricta)",8
"Cockle (no species specified)",8
"Great Scallop (Pecten maximus)",8
"Red Swamp Crayfish (Procambarus clarkii)",8
"Bighead Carp (Aristichthys nobilis)",7
"Blue Swimming Crab (Portunus pelagicus)",7
"European Flat Oyster (Ostrea edulis)",7
"Gazami Crab (Portunus trituberculatus)",7
"Goldfish (Carassius auratus)",7
"Japanese Threadfin Bream (Nemipterus japonicus)",7
"Lobster (no species specified)",7
"Northern Snakehead (Channa argus)",7
"Trout (no species specified)",7
"Turbot (Scophthalmus maximus)",7
"Barramundi (Lates calcarifer)",6
"Bighead Carp (Hypophthalmichthys nobilis)",6
"Chinese Mitten Crab (Eriocheir sinensis)",6
"Crucian Carp (Carassius carassius)",6
"Mud Carp (Cirrhinus molitorella)",6
"Red Sea Bream (Pagrus major)",6
"Rohu (Labeo rohita)",6
"Scallops (no species specified)",6
"Silver Carp (Hypophthalmichthys molitrix)",6
"Common Cockle (Cerastoderma edule)",5
"Greater Amberjack (Seriola dumerili)",5
"Mandarin fish (Siniperca chuatsi)",5
"Pangasius Catfish (Pangasius hypophthalmus)",5
"Razor Clam (no species specified)",5
"Red Drum (Sciaenops ocellatus)",5
"Scallops (Chlamys farreri)",5
"Sockeye Salmon (Oncorhynchus nerka)",5
"Variegated Carpet Shell (Ruditapes variegatus)",5
"Variously Coloured Abalone (Haliotis diversicolor)",5
"Yellowfin Seabream (Acanthopagrus latus)",5
"Blunt Snout Bream (Megalobrama amblycephala)",4
"Carp (no species specified)",4
"Chinook Salmon (Oncorhynchus tshawytscha)",4
"Chum Salmon (Oncorhynchus keta)",4
"Clam (Tapes decussatus)",4
"Crayfish (no species specified)",4
"Crimson Snapper (Lutjanus erythropterus)",4
"Flatfish (Paralichthys olivaceus)",4
