"standardized_species","exclusion_type","number_of_studies"
"Shrimp (no species specified)","Production method: not specified, exclude",43
"Fish (no species specified)","Production method: not specified, exclude",29
"Squid (no species specified)","Broad wild-caught-only group exclusion",28
"Giant Tiger Prawn (Penaeus monodon)","Species-level wild-caught exclusion within retained commodity group",26
"Tuna (no species specified)","Broad wild-caught-only group exclusion",26
"Crab (no species specified)","Production method: not specified, exclude",25
"Atlantic Mackerel (Scomber scombrus)","Broad wild-caught-only group exclusion",22
"Mackerel (no species specified)","Broad wild-caught-only group exclusion",21
"European Pilchard (Sardina pilchardus)","Broad wild-caught-only group exclusion",20
"No Species Specified","Production method: not specified, exclude",20
"European Hake (Merluccius merluccius)","Broad wild-caught-only group exclusion",19
"Swordfish (Xiphias gladius)","Broad wild-caught-only group exclusion",19
"Cod (no species specified)","Production method: not specified, exclude",17
"Octopus (no species specified)","Broad wild-caught-only group exclusion",17
"Atlantic Bluefin Tuna (Thunnus thynnus)","Broad wild-caught-only group exclusion",16
"Sardine (no species specified)","Broad wild-caught-only group exclusion",16
"Silver Pomfret (Pampus argenteus)","Species-level wild-caught exclusion within retained commodity group",16
"Cuttlefish (no species specified)","Broad wild-caught-only group exclusion",15
"Anchovy (no species specified)","Broad wild-caught-only group exclusion",14
"Indian Mackerel (Rastrelliger kanagurta)","Broad wild-caught-only group exclusion",13
"Largehead Hairtail (Trichiurus lepturus)","Broad wild-caught-only group exclusion",13
"Shellfish (no species specified)","Production method: not specified, exclude",13
"Squid (Loligo vulgaris)","Broad wild-caught-only group exclusion",13
"Prawn (no species specified)","Production method: not specified, exclude",12
"Bombay Duck (Harpadon nehereus)","Broad wild-caught-only group exclusion",11
"Common Cuttlefish (Sepia officinalis)","Broad wild-caught-only group exclusion",11
"European Anchovy (Engraulis encrasicolus)","Broad wild-caught-only group exclusion",11
"Giant River Prawn (Macrobrachium rosenbergii)","Species-level wild-caught exclusion within retained commodity group",10
"Hake (no species specified)","Broad wild-caught-only group exclusion",10
"Indian White Prawn (Penaeus indicus)","Species-level wild-caught exclusion within retained commodity group",10
"Sole (no species specified)","Species-level wild-caught exclusion within retained commodity group",10
"Common Octopus (Octopus vulgaris)","Broad wild-caught-only group exclusion",9
"Herring (no species specified)","Broad wild-caught-only group exclusion",9
"Large Yellow Croaker (Pseudosciaena crocea)","Species-level wild-caught exclusion within retained commodity group",9
"Plaice (no species specified)","Species-level wild-caught exclusion within retained commodity group",9
"Surmullet (Mullus surmuletus)","Broad wild-caught-only group exclusion",9
"Halibut (no species specified)","Species-level wild-caught exclusion within retained commodity group",8
"Indian Oil Sardine (Sardinella longiceps)","Broad wild-caught-only group exclusion",8
"Kuruma Prawn (Penaeus japonicus)","Species-level wild-caught exclusion within retained commodity group",8
"Perch (no species specified)","Production method: not specified, exclude",8
"Yellowfin Tuna (Thunnus albacares)","Broad wild-caught-only group exclusion",8
"Goldspotted Grenadier Anchovy (Coilia dussumieri)","Broad wild-caught-only group exclusion",7
"Grouper (no species specified)","Production method: not specified, exclude",7
"Haddock (no species specified)","Broad wild-caught-only group exclusion",7
"Pollock (no species specified)","Broad wild-caught-only group exclusion",7
"Banana Prawn (Penaeus merguiensis)","Species-level wild-caught exclusion within retained commodity group",6
"Common Sole (Solea solea)","Species-level wild-caught exclusion within retained commodity group",6
"Crustaceans (no species specified)","Production method: not specified, exclude",6
"Eel (no species specified)","Production method: not specified, exclude",6
"European Sprat (Sprattus sprattus)","Broad wild-caught-only group exclusion",6
"Japanese Spanish Mackerel (Scomberomorus niphoniu)","Broad wild-caught-only group exclusion",6
"John Dory (Zeus faber)","Broad wild-caught-only group exclusion",6
"Skipjack Tuna (Katsuwonus pelamis)","Broad wild-caught-only group exclusion",6
"Sole (Solea vulgaris)","Production method: not specified, exclude",6
"Tigertooth Croaker (Otolithes ruber)","Species-level wild-caught exclusion within retained commodity group",6
"Whiting (no species specified)","Broad wild-caught-only group exclusion",6
"Yellow Croaker (no species specified)","Species-level wild-caught exclusion within retained commodity group",6
"Angler (Lophius piscatorius)","Broad wild-caught-only group exclusion",5
"Anglerfish (no species specified)","Broad wild-caught-only group exclusion",5
"Atlantic Horse Mackerel (Trachurus trachurus)","Broad wild-caught-only group exclusion",5
"Bluefish (Pomatomus saltatrix)","Broad wild-caught-only group exclusion",5
"Bogue (Boops boops)","Broad wild-caught-only group exclusion",5
"Chub Mackerel (Scomber japonicus)","Broad wild-caught-only group exclusion",5
"European Plaice (Pleuronectes platessa)","Species-level wild-caught exclusion within retained commodity group",5
"Flounder (no species specified)","Production method: not specified, exclude",5
"Horse Mackerel (no species specified)","Broad wild-caught-only group exclusion",5
"Indian Anchovy (Stolephorus indicus)","Broad wild-caught-only group exclusion",5
"Mahi-mahi (Coryphaena hippurus)","Broad wild-caught-only group exclusion",5
"Mantis Shrimp (no species specified)","Species-level wild-caught exclusion within retained commodity group",5
"Orange-Spotted Grouper (Epinephelus coioides)","Species-level wild-caught exclusion within retained commodity group",5
"Pagel (Pagellus erythrinus)","Broad wild-caught-only group exclusion",5
"Pomfret (no species specified)","Species-level wild-caught exclusion within retained commodity group",5
"Ray (no species specified)","Broad wild-caught-only group exclusion",5
"Shark (no species specified)","Broad wild-caught-only group exclusion",5
"Small Yellow Croaker (Larimichthys polyactis)","Species-level wild-caught exclusion within retained commodity group",5
"Swimming Crab (no species specified)","Production method: not specified, exclude",5
"Torpedo Scad (Megalaspis cordyla)","Species-level wild-caught exclusion within retained commodity group",5
"Alaska Pollock (Gadus chalcogrammus)","Broad wild-caught-only group exclusion",4
"Atlantic Herring (Clupea harengus)","Broad wild-caught-only group exclusion",4
"Cephalopods (no species specified)","Production method: not specified, exclude",4
"Chacunda Gizzard Shad (Anodontostoma chacunda)","Broad wild-caught-only group exclusion",4
"Comber (Serranus cabrilla)","Broad wild-caught-only group exclusion",4
"Common Periwinkle (Littorina littorea)","Broad wild-caught-only group exclusion",4
"Crab (no species specified)","Production method: wild-caught",4
"Deep-Water Rose Shrimp (Parapenaeus longirostris)","Species-level wild-caught exclusion within retained commodity group",4
"Golden Cuttlefish (Sepia esculenta)","Broad wild-caught-only group exclusion",4
"Green Tiger Prawn (Penaeus semisulcatus)","Production method: not specified, exclude",4
"Hilsa Shad (Tenualosa ilisha)","Broad wild-caught-only group exclusion",4
"Indo-Pacific King Mackerel (Scomberomorus guttatus)","Broad wild-caught-only group exclusion",4
"Jinga Shrimp (Metapenaeus affinis)","Species-level wild-caught exclusion within retained commodity group",4
"Mangrove Red Snapper (Lutjanus argentimaculatus)","Species-level wild-caught exclusion within retained commodity group",4
"Nile Perch (Lates niloticus)","Broad wild-caught-only group exclusion",4
"Rockfish (no species specified)","Broad wild-caught-only group exclusion",4
"Sand Crab (Ovalipes punctatus)","Species-level wild-caught exclusion within retained commodity group",4
