"bacteria_genus","number_of_studies"
"Vibrio",57
"Escherichia",21
"Salmonella",20
"Staphylococcus",18
"Listeria",14
"Aeromonas",12
"Pseudomonas",7
"Bacillus",6
"Klebsiella",6
"Clostridium",4
"Streptococcus",4
"Arcobacter",3
"Enterobacter",3
"Enterococcus",3
"Campylobacter",2
"Citrobacter",2
"Shigella",2
"Brevundimonas",1
"Burkholderia",1
"Carnobacterium",1
"Cetobacterium",1
"Cronobacter",1
"Exiguobacterium",1
"Fusobacterium",1
"Lactococcus",1
"Lysinibacillus",1
"Morganella",1
"Mycobacterium",1
"Proteus",1
"Providencia",1
"Pseudoalteromonas",1
"Psychrobacter",1
"Stutzerimonas",1
"Weissella",1
