"commodity_group","region","number_of_studies"
"Clam/Cockle","China",35
"Oyster","China",28
"Cyprinids (Carp/Minnows)","China",23
"Crab","China",22
"Shrimp/Prawn","China",21
"Mussel","China",19
"Scallop","China",19
"Seabass/Sea Bream","China",18
"Whelk/Abalone/Other Gastropods","China",17
"Seabass/Sea Bream","Mixed",15
"Clam/Cockle","India",14
"Other or Not Otherwise Grouped Aquatic Foods","China",14
"Salmon","Mixed",14
"Mussel","Mixed",13
"Mussel","Spain",13
"Mussel","Italy",12
"Lobster/Crayfish","China",11
"Seabass/Sea Bream","Italy",10
"Clam/Cockle","Spain",9
"Mullet","Italy",9
"Shrimp/Prawn","Mixed",9
"Oyster","South Korea",8
"Perch/Sunfish","China",8
"Salmon","Spain",8
"Salmon","USA",8
"Snakehead","China",8
"Tilapia","China",8
"Clam/Cockle","Italy",7
"Clam/Cockle","South Korea",7
"Mullet","China",7
"Seabass/Sea Bream","Spain",7
"Tilapia","Mixed",7
"Catfish","USA",6
"Mussel","India",6
"Mussel","South Korea",6
"Shrimp/Prawn","Malaysia",6
"Catfish","China",5
"Catfish","Malaysia",5
"Catfish","Mixed",5
"Clam/Cockle","Mixed",5
"Croaker/Drum","China",5
"Oyster","India",5
"Oyster","Mixed",5
"Pomfret","China",5
"Scallop","Mixed",5
"Seabass/Sea Bream","India",5
"Seabass/Sea Bream","Malaysia",5
"Tilapia","USA",5
"Clam/Cockle","Japan",4
"Clam/Cockle","USA",4
"Crab","India",4
"Cyprinids (Carp/Minnows)","India",4
"Flatfish","South Korea",4
"Mullet","India",4
"Mussel","France",4
"Mussel","Germany",4
"Mussel","USA",4
"Other or Not Otherwise Grouped Aquatic Foods","Mixed",4
"Oyster","France",4
"Oyster","Italy",4
"Oyster","Japan",4
"Salmon","China",4
"Salmon","Italy",4
"Scallop","France",4
"Scallop","USA",4
"Shrimp/Prawn","South Korea",4
"Catfish","South Korea",3
"Clam/Cockle","France",3
"Clam/Cockle","Malaysia",3
"Clam/Cockle","Thailand",3
"Eel","China",3
"Lobster/Crayfish","USA",3
"Mullet","Iran",3
"Mussel","Thailand",3
"Other or Not Otherwise Grouped Aquatic Foods","India",3
"Other or Not Otherwise Grouped Aquatic Foods","Italy",3
"Other or Not Otherwise Grouped Aquatic Foods","South Korea",3
"Salmon","France",3
"Salmon","Japan",3
"Sea cucumber/Urchin","China",3
"Sea cucumber/Urchin","France",3
"Sea cucumber/Urchin","South Korea",3
"Seabass/Sea Bream","France",3
"Seabass/Sea Bream","South Korea",3
"Seabass/Sea Bream","USA",3
"Shrimp/Prawn","India",3
"Snapper","China",3
"Tilapia","Malaysia",3
"Tilapia","Taiwan",3
"Whelk/Abalone/Other Gastropods","Italy",3
"Whelk/Abalone/Other Gastropods","South Korea",3
"Catfish","Brazil",2
"Catfish","Germany",2
"Catfish","India",2
"Catfish","Spain",2
"Catfish","Vietnam",2
"Clam/Cockle","Nigeria",2
"Clam/Cockle","Portugal",2
"Clam/Cockle","Taiwan",2
"Clam/Cockle","Tunisia",2
"Cod","Italy",2
"Cod","Spain",2
"Crab","Iran",2
"Crab","South Korea",2
"Cyprinids (Carp/Minnows)","Iran",2
"Cyprinids (Carp/Minnows)","Serbia",2
"Cyprinids (Carp/Minnows)","Spain",2
"Cyprinids (Carp/Minnows)","Vietnam",2
"Flatfish","Mixed",2
"Lobster/Crayfish","India",2
"Mullet","Brazil",2
"Mullet","Greece",2
"Mullet","South Korea",2
"Mullet","Spain",2
"Mussel","Adriatic Sea",2
"Mussel","Greece",2
"Mussel","Portugal",2
"Mussel","Turkey",2
"Other or Not Otherwise Grouped Aquatic Foods","Iceland",2
"Other or Not Otherwise Grouped Aquatic Foods","Spain",2
"Other or Not Otherwise Grouped Aquatic Foods","USA",2
"Oyster","Australia",2
"Oyster","Mauritius",2
"Perch/Sunfish","Spain",2
"Perch/Sunfish","USA",2
"Salmon","Brazil",2
"Salmon","Germany",2
"Salmon","Iran",2
"Salmon","Norway",2
"Salmon","South Korea",2
"Salmon","Turkey",2
"Scallop","Italy",2
"Scallop","Japan",2
"Scallop","South Korea",2
"Sea cucumber/Urchin","Italy",2
"Seabass/Sea Bream","Portugal",2
"Seabass/Sea Bream","Taiwan",2
"Seabass/Sea Bream","Tunisia",2
"Seabass/Sea Bream","Turkey",2
"Seaweed/Algae","China",2
"Seaweed/Algae","Japan",2
"Shrimp/Prawn","USA",2
"Snakehead","Vietnam",2
"Snapper","Malaysia",2
"Tilapia","Egypt",2
"Tilapia","India",2
"Trout","Germany",2
"Trout","USA",2
"Whelk/Abalone/Other Gastropods","France",2
"Whelk/Abalone/Other Gastropods","Mixed",2
"Whelk/Abalone/Other Gastropods","Nigeria",2
"Whelk/Abalone/Other Gastropods","Spain",2
"Catfish","Bangladesh",1
"Catfish","Cambodia",1
"Catfish","France",1
"Catfish","Ghana",1
"Catfish","Gulf of Thailand",1
"Catfish","Italy",1
"Catfish","Netherlands",1
"Catfish","Nigeria",1
"Catfish","Romania",1
"Catfish","Serbia",1
"Catfish","Switzerland",1
"Catfish","Tanzania",1
"Catfish","Turkey",1
"Clam/Cockle","Australia",1
"Clam/Cockle","Brazil",1
"Clam/Cockle","Canada",1
"Clam/Cockle","Germany",1
"Clam/Cockle","Hungary",1
"Clam/Cockle","Oman",1
"Clam/Cockle","Romania",1
"Clam/Cockle","Singapore",1
"Clam/Cockle","Sweden",1
"Clam/Cockle","Vietnam",1
"Cod","Mixed",1
"Cod","Netherlands",1
